sample,image name,species,otolith label,otolith length,fish length(FL)mm,fish weight(FW)gr
1,7.jpg,Norway Pout,13,4.37,99.64,6.62
1,7.jpg,Norway Pout,14,4.39,100.11,6.72
1,7.jpg,Norway Pout,15,4.73,107.75,8.53
1,7.jpg,Norway Pout,16,4.19,95.42,5.75
1,8.jpg,Norway Pout,1,5.12,116.76,11.06
1,8.jpg,Norway Pout,2,4.69,106.98,8.33
1,8.jpg,Norway Pout,3,4.67,106.36,8.18
1,8.jpg,Norway Pout,4,4.44,101.14,6.95
1,8.jpg,Norway Pout,5,4.65,106.11,8.11
1,8.jpg,Norway Pout,6,4.33,98.61,6.4
1,8.jpg,Norway Pout,7,4.56,103.92,7.58
1,8.jpg,Norway Pout,8,4.1,93.39,5.36
1,8.jpg,Norway Pout,9,4.58,104.52,7.72
1,8.jpg,Norway Pout,10,4.97,113.25,10.02
1,8.jpg,Norway Pout,11,4.31,98.18,6.31
1,8.jpg,Norway Pout,12,4.42,100.82,6.87
1,8.jpg,Norway Pout,13,4,91.2,4.97
1,8.jpg,Norway Pout,14,4.49,102.28,7.2
1,8.jpg,Norway Pout,15,3.86,87.99,4.42
1,9.jpg,Norway Pout,1,4.1,93.41,5.37
1,9.jpg,Norway Pout,2,4.52,103.15,7.4
1,9.jpg,Norway Pout,3,4.64,105.75,8.02
1,9.jpg,Norway Pout,4,4.41,100.53,6.81
1,9.jpg,Norway Pout,5,4.66,106.16,8.12
1,9.jpg,Norway Pout,6,3.79,86.41,4.17
1,9.jpg,Norway Pout,7,3.99,91.02,4.93
1,9.jpg,Norway Pout,8,4.29,97.74,6.22
1,9.jpg,Norway Pout,9,3.99,90.88,4.91
1,9.jpg,Norway Pout,10,4.08,93.05,5.3
1,9.jpg,Norway Pout,11,4.22,96.24,5.91
1,9.jpg,Norway Pout,12,4.26,97.17,6.1
1,9.jpg,Norway Pout,13,3.99,91.06,4.94
1,9.jpg,Norway Pout,14,4.34,99.02,6.48
1,10.jpg,Norway Pout,1,3.36,76.59,2.82
1,10.jpg,Norway Pout,2,3,68.49,1.96
1,10.jpg,Norway Pout,3,2.51,57.21,1.1
1,10.jpg,Norway Pout,4,2.5,56.98,1.08
1,10.jpg,Norway Pout,5,3.04,69.27,2.04
1,10.jpg,Norway Pout,6,3.11,70.84,2.19
1,10.jpg,Norway Pout,7,2.52,57.43,1.11
1,10.jpg,Norway Pout,8,2.34,53.44,0.88
1,10.jpg,Norway Pout,9,3.04,69.33,2.04
1,10.jpg,Norway Pout,10,2.87,65.46,1.7
1,10.jpg,Norway Pout,11,2.73,62.29,1.44
1,10.jpg,Norway Pout,12,2.99,68.13,1.93
1,10.jpg,Norway Pout,13,2.92,66.51,1.79
1,10.jpg,Norway Pout,14,3.03,69.04,2.02
1,10.jpg,Norway Pout,15,2.17,49.41,0.68
1,10.jpg,Norway Pout,16,2.02,45.94,0.54
2,1.jpg,Sandeel,1,1.57,90.32,2.08
2,1.jpg,Sandeel,2,1.62,92.76,2.26
2,1.jpg,Sandeel,3,1.53,88.14,1.93
2,1.jpg,Sandeel,4,1.4,81.6,1.53
2,1.jpg,Sandeel,5,1.46,84.4,1.7
2,1.jpg,Sandeel,6,1.54,88.61,1.97
2,1.jpg,Sandeel,7,1.33,77.55,1.31
2,1.jpg,Sandeel,8,1.74,99.09,2.75
2,1.jpg,Sandeel,9,1.43,83.05,1.62
2,1.jpg,Sandeel,10,1.53,88.4,1.95
2,1.jpg,Sandeel,11,1.73,98.73,2.72
2,1.jpg,Sandeel,12,1.74,98.99,2.74
2,1.jpg,Sandeel,13,1.31,76.88,1.28
2,1.jpg,Sandeel,14,1.61,92.5,2.24
2,1.jpg,Sandeel,15,1.65,94.42,2.38
2,1.jpg,Sandeel,16,1.64,93.69,2.32
2,1.jpg,Sandeel,17,1.49,85.91,1.79
2,1.jpg,Sandeel,18,1.33,77.91,1.33
2,1.jpg,Sandeel,19,1.4,81.18,1.51
2,1.jpg,Sandeel,20,1.58,90.94,2.13
2,1.jpg,Sandeel,21,1.81,102.88,3.07
2,1.jpg,Sandeel,22,1.62,92.97,2.27
2,1.jpg,Sandeel,23,1.57,90.16,2.07
2,1.jpg,Sandeel,24,1.65,94.63,2.39
2,1.jpg,Sandeel,25,1.58,91,2.13
2,1.jpg,Sandeel,26,1.52,87.88,1.92
2,1.jpg,Sandeel,27,1.44,83.52,1.64
2,1.jpg,Sandeel,28,1.68,96.13,2.51
2,1.jpg,Sandeel,29,1.61,92.29,2.22
2,1.jpg,Sandeel,30,1.73,98.47,2.7
2,1.jpg,Sandeel,31,1.63,93.43,2.3
2,1.jpg,Sandeel,32,1.56,89.7,2.04
2,1.jpg,Sandeel,33,1.51,87,1.86
2,1.jpg,Sandeel,34,1.48,85.6,1.77
2,1.jpg,Sandeel,35,1.53,88.35,1.95
2,1.jpg,Sandeel,36,1.75,99.46,2.78
2,1.jpg,Sandeel,37,1.57,90.32,2.08
2,1.jpg,Sandeel,38,1.5,86.43,1.82
2,1.jpg,Sandeel,39,1.56,89.96,2.06
2,1.jpg,Sandeel,40,1.59,91.2,2.14
2,1.jpg,Sandeel,41,1.52,87.88,1.92
2,1.jpg,Sandeel,42,1.41,81.7,1.54
2,1.jpg,Sandeel,43,1.6,91.67,2.18
2,1.jpg,Sandeel,44,1.59,91.41,2.16
2,1.jpg,Sandeel,45,1.79,101.79,2.97
2,1.jpg,Sandeel,46,1.57,90.48,2.09
2,1.jpg,Sandeel,47,1.72,97.79,2.64
2,1.jpg,Sandeel,48,1.52,87.83,1.91
2,1.jpg,Sandeel,49,1.77,100.81,2.89
2,1.jpg,Sandeel,50,1.64,93.69,2.32
2,1.jpg,Sandeel,51,1.61,92.14,2.21
2,1.jpg,Sandeel,52,1.83,103.87,3.16
2,1.jpg,Sandeel,53,1.74,99.09,2.75
2,1.jpg,Sandeel,54,1.61,92.55,2.24
2,1.jpg,Sandeel,55,1.48,85.39,1.76
2,1.jpg,Sandeel,56,1.65,94.27,2.37
2,1.jpg,Sandeel,57,1.59,91.36,2.15
2,1.jpg,Sandeel,58,1.45,84.25,1.69
2,1.jpg,Sandeel,59,1.68,96.08,2.51
2,1.jpg,Sandeel,60,1.45,84.09,1.68
2,1.jpg,Sandeel,61,1.37,80.04,1.45
2,2.jpg,Sandeel,1,1.63,93.54,2.31
2,2.jpg,Sandeel,2,1.69,96.5,2.54
2,2.jpg,Sandeel,3,1.5,86.64,1.84
2,2.jpg,Sandeel,4,1.64,93.9,2.34
2,2.jpg,Sandeel,5,1.48,85.6,1.77
2,2.jpg,Sandeel,6,1.55,89.18,2
2,2.jpg,Sandeel,7,1.52,87.47,1.89
2,2.jpg,Sandeel,8,1.47,85.29,1.75
2,2.jpg,Sandeel,9,1.48,85.8,1.78
2,2.jpg,Sandeel,10,1.57,90.42,2.09
2,2.jpg,Sandeel,11,1.69,96.5,2.54
2,2.jpg,Sandeel,12,1.55,89.23,2.01
2,2.jpg,Sandeel,13,1.64,94.06,2.35
2,2.jpg,Sandeel,14,1.64,93.9,2.34
2,2.jpg,Sandeel,15,1.33,77.71,1.32
2,2.jpg,Sandeel,16,1.68,96.19,2.51
2,2.jpg,Sandeel,17,1.6,91.83,2.19
2,2.jpg,Sandeel,18,1.63,93.18,2.29
2,2.jpg,Sandeel,19,1.71,97.54,2.62
2,2.jpg,Sandeel,20,1.69,96.29,2.52
2,2.jpg,Sandeel,21,1.7,96.91,2.57
2,2.jpg,Sandeel,22,1.69,96.65,2.55
2,2.jpg,Sandeel,23,1.74,99.3,2.76
2,2.jpg,Sandeel,24,1.72,97.79,2.64
2,2.jpg,Sandeel,25,1.67,95.46,2.46
2,2.jpg,Sandeel,26,1.71,97.33,2.6
2,2.jpg,Sandeel,27,1.58,90.58,2.1
2,2.jpg,Sandeel,28,1.71,97.54,2.62
2,2.jpg,Sandeel,29,1.59,91.25,2.15
2,2.jpg,Sandeel,30,1.63,93.38,2.3
2,2.jpg,Sandeel,31,1.81,102.67,3.05
2,2.jpg,Sandeel,32,1.34,78.43,1.36
2,2.jpg,Sandeel,33,1.58,90.79,2.11
2,2.jpg,Sandeel,34,1.67,95.51,2.46
2,2.jpg,Sandeel,35,1.56,89.75,2.04
2,2.jpg,Sandeel,36,1.59,91.25,2.15
2,2.jpg,Sandeel,37,1.88,106.15,3.37
2,2.jpg,Sandeel,38,1.66,94.89,2.41
2,2.jpg,Sandeel,39,1.62,92.86,2.26
2,2.jpg,Sandeel,40,1.59,91.1,2.14
2,2.jpg,Sandeel,41,1.54,88.45,1.96
2,2.jpg,Sandeel,42,1.95,110.2,3.76
2,2.jpg,Sandeel,43,1.68,95.93,2.49
2,2.jpg,Sandeel,44,1.96,110.56,3.8
2,2.jpg,Sandeel,45,1.65,94.52,2.39
2,2.jpg,Sandeel,46,1.61,92.09,2.21
2,2.jpg,Sandeel,47,1.57,90.16,2.07
2,2.jpg,Sandeel,48,1.63,93.18,2.29
2,2.jpg,Sandeel,49,1.74,99.04,2.74
2,2.jpg,Sandeel,50,1.54,88.61,1.97
2,2.jpg,Sandeel,51,1.7,97.07,2.58
2,2.jpg,Sandeel,52,1.68,95.98,2.5
2,2.jpg,Sandeel,53,1.78,101.38,2.94
2,2.jpg,Sandeel,54,1.6,91.98,2.2
2,2.jpg,Sandeel,55,1.76,99.87,2.81
2,2.jpg,Sandeel,56,1.84,104.13,3.18
2,2.jpg,Sandeel,57,1.66,94.78,2.41
2,2.jpg,Sandeel,58,1.57,90.37,2.09
2,2.jpg,Sandeel,59,1.77,100.6,2.87
2,2.jpg,Sandeel,60,1.64,93.75,2.33
2,2.jpg,Sandeel,61,1.6,91.98,2.2
2,2.jpg,Sandeel,62,1.83,103.92,3.16
2,2.jpg,Sandeel,63,1.62,92.6,2.24
2,2.jpg,Sandeel,64,1.71,97.48,2.62
2,2.jpg,Sandeel,65,1.49,86.12,1.8
2,2.jpg,Sandeel,66,1.59,91.51,2.17
2,2.jpg,Sandeel,67,1.65,94.42,2.38
2,2.jpg,Sandeel,68,1.53,88.4,1.95
2,2.jpg,Sandeel,69,1.56,89.96,2.06
2,2.jpg,Sandeel,70,1.64,94.06,2.35
2,2.jpg,Sandeel,71,1.71,97.28,2.6
2,2.jpg,Sandeel,72,1.5,86.38,1.82
2,2.jpg,Sandeel,73,1.6,91.98,2.2
2,2.jpg,Sandeel,74,1.59,91.15,2.14
2,2.jpg,Sandeel,75,1.39,80.67,1.48
2,2.jpg,Sandeel,76,1.63,93.38,2.3
2,2.jpg,Sandeel,77,1.96,110.51,3.79
2,2.jpg,Sandeel,78,1.58,90.79,2.11
2,2.jpg,Sandeel,79,1.63,93.38,2.3
2,2.jpg,Sandeel,80,1.58,90.79,2.11
2,3.jpg,Sandeel,1,1.89,107.03,3.45
2,3.jpg,Sandeel,2,2.25,125.56,5.51
2,3.jpg,Sandeel,3,2.05,114.98,4.26
2,3.jpg,Sandeel,4,2.2,122.76,5.16
2,3.jpg,Sandeel,5,1.73,98.37,2.69
2,3.jpg,Sandeel,6,2.16,120.89,4.93
2,3.jpg,Sandeel,7,1.92,108.23,3.57
2,3.jpg,Sandeel,8,1.99,112.17,3.96
2,3.jpg,Sandeel,9,2.27,126.76,5.67
2,3.jpg,Sandeel,10,2.03,114.09,4.16
2,3.jpg,Sandeel,11,2.13,119.13,4.73
2,3.jpg,Sandeel,12,2.07,116.38,4.41
2,3.jpg,Sandeel,13,1.95,109.94,3.73
2,3.jpg,Sandeel,14,2.09,117.21,4.51
2,3.jpg,Sandeel,15,2.25,125.77,5.54
2,3.jpg,Sandeel,16,2.22,124.11,5.33
2,3.jpg,Sandeel,17,1.94,109.68,3.71
2,3.jpg,Sandeel,18,2.07,116.01,4.37
2,3.jpg,Sandeel,19,1.97,110.88,3.83
2,3.jpg,Sandeel,20,2.08,116.69,4.45
2,3.jpg,Sandeel,21,2.2,123.12,5.21
2,3.jpg,Sandeel,22,2.09,117.47,4.54
2,3.jpg,Sandeel,23,1.98,111.34,3.88
2,3.jpg,Sandeel,24,2.09,117.42,4.53
2,3.jpg,Sandeel,25,1.99,112.12,3.96
2,3.jpg,Sandeel,26,2.09,117.1,4.5
2,4.jpg,Sandeel,1,1.68,95.98,2.5
2,4.jpg,Sandeel,2,1.7,97.02,2.58
2,4.jpg,Sandeel,3,1.67,95.46,2.46
2,4.jpg,Sandeel,4,1.91,107.92,3.54
2,4.jpg,Sandeel,5,1.69,96.45,2.53
2,4.jpg,Sandeel,6,1.7,97.07,2.58
2,4.jpg,Sandeel,7,1.7,97.02,2.58
2,4.jpg,Sandeel,8,1.55,89.44,2.02
2,4.jpg,Sandeel,9,1.72,98.16,2.67
2,4.jpg,Sandeel,10,1.65,94.42,2.38
2,4.jpg,Sandeel,11,1.83,103.82,3.15
2,4.jpg,Sandeel,12,1.73,98.73,2.72
2,4.jpg,Sandeel,13,1.82,103.45,3.12
2,4.jpg,Sandeel,14,1.81,102.67,3.05
2,4.jpg,Sandeel,15,1.75,99.35,2.77
2,4.jpg,Sandeel,16,2.02,113.63,4.11
2,4.jpg,Sandeel,17,1.6,91.88,2.19
2,4.jpg,Sandeel,18,1.81,102.57,3.04
2,4.jpg,Sandeel,19,1.7,97.22,2.6
2,4.jpg,Sandeel,20,1.75,99.4,2.77
2,4.jpg,Sandeel,21,1.83,103.66,3.14
2,4.jpg,Sandeel,22,1.7,97.02,2.58
2,4.jpg,Sandeel,23,1.31,76.88,1.28
2,4.jpg,Sandeel,24,1.75,99.72,2.8
2,4.jpg,Sandeel,25,1.76,100.34,2.85
2,4.jpg,Sandeel,26,1.61,92.19,2.21
2,4.jpg,Sandeel,27,1.61,92.19,2.21
2,4.jpg,Sandeel,28,1.96,110.25,3.77
2,4.jpg,Sandeel,29,1.66,94.94,2.42
2,4.jpg,Sandeel,30,1.73,98.63,2.71
2,4.jpg,Sandeel,31,1.78,101.06,2.91
2,4.jpg,Sandeel,32,1.8,102.26,3.02
2,4.jpg,Sandeel,33,1.84,104.28,3.2
2,4.jpg,Sandeel,34,1.74,99.09,2.75
2,4.jpg,Sandeel,35,1.81,102.88,3.07
2,4.jpg,Sandeel,36,1.53,88.09,1.93
2,4.jpg,Sandeel,37,2.05,115.39,4.31
2,4.jpg,Sandeel,38,1.95,109.99,3.74
2,4.jpg,Sandeel,39,1.74,98.83,2.72
2,4.jpg,Sandeel,40,1.73,98.57,2.7
2,4.jpg,Sandeel,41,1.61,92.34,2.23
2,4.jpg,Sandeel,42,1.74,99.09,2.75
2,4.jpg,Sandeel,43,1.75,99.61,2.79
2,5.jpg,Sandeel,1,1.46,84.61,1.71
2,5.jpg,Sandeel,2,1.48,85.44,1.76
2,5.jpg,Sandeel,3,1.28,75.37,1.2
2,5.jpg,Sandeel,4,1.3,76.36,1.25
2,5.jpg,Sandeel,5,1.41,81.96,1.55
2,5.jpg,Sandeel,6,1.54,88.71,1.97
2,5.jpg,Sandeel,7,1.26,74.33,1.15
2,5.jpg,Sandeel,8,1.47,84.97,1.73
2,5.jpg,Sandeel,9,1.45,83.88,1.67
2,5.jpg,Sandeel,10,1.36,79.21,1.4
2,5.jpg,Sandeel,11,1.28,75.27,1.2
2,5.jpg,Sandeel,12,1.53,88.3,1.94
2,5.jpg,Sandeel,13,1.33,77.97,1.33
2,5.jpg,Sandeel,14,1.3,76.2,1.24
2,5.jpg,Sandeel,15,1.33,77.81,1.33
2,5.jpg,Sandeel,16,1.47,84.92,1.73
2,5.jpg,Sandeel,17,1.37,79.63,1.42
2,5.jpg,Sandeel,18,1.37,79.84,1.43
2,5.jpg,Sandeel,19,1.24,73.24,1.1
2,5.jpg,Sandeel,20,1.45,84.25,1.69
2,5.jpg,Sandeel,21,1.48,85.6,1.77
2,5.jpg,Sandeel,22,1.54,88.82,1.98
2,5.jpg,Sandeel,23,1.4,81.44,1.52
2,5.jpg,Sandeel,24,1.42,82.64,1.59
2,5.jpg,Sandeel,25,1.41,82.17,1.57
2,5.jpg,Sandeel,26,1.57,90.32,2.08
2,5.jpg,Sandeel,27,1.31,76.88,1.28
2,5.jpg,Sandeel,28,1.45,83.83,1.66
2,5.jpg,Sandeel,29,1.4,81.24,1.51
2,5.jpg,Sandeel,30,1.33,77.55,1.31
2,5.jpg,Sandeel,31,1.57,90.11,2.07
2,5.jpg,Sandeel,32,1.36,79.58,1.42
2,5.jpg,Sandeel,33,1.44,83.31,1.63
2,5.jpg,Sandeel,34,1.35,78.8,1.38
2,5.jpg,Sandeel,35,1.51,87.15,1.87
2,5.jpg,Sandeel,36,1.47,84.82,1.72
2,5.jpg,Sandeel,37,1.46,84.4,1.7
2,5.jpg,Sandeel,38,1.31,76.98,1.28
2,5.jpg,Sandeel,39,1.4,81.55,1.53
2,5.jpg,Sandeel,40,1.29,75.94,1.23
2,5.jpg,Sandeel,41,1.47,85.29,1.75
2,5.jpg,Sandeel,42,1.43,83.05,1.62
2,5.jpg,Sandeel,43,1.25,73.66,1.12
2,5.jpg,Sandeel,44,1.42,82.38,1.58
2,5.jpg,Sandeel,45,1.68,96.13,2.51
2,5.jpg,Sandeel,46,1.5,86.64,1.84
2,5.jpg,Sandeel,47,1.46,84.66,1.71
2,5.jpg,Sandeel,48,1.48,85.44,1.76
2,5.jpg,Sandeel,49,1.53,88.4,1.95
2,5.jpg,Sandeel,50,1.35,78.75,1.38
2,5.jpg,Sandeel,51,1.45,83.83,1.66
2,5.jpg,Sandeel,52,1.3,76.31,1.25
2,5.jpg,Sandeel,53,1.47,85.13,1.74
2,5.jpg,Sandeel,54,1.57,90.27,2.08
2,5.jpg,Sandeel,55,1.55,89.33,2.01
2,5.jpg,Sandeel,56,1.65,94.37,2.37
2,5.jpg,Sandeel,57,1.46,84.3,1.69
2,5.jpg,Sandeel,58,1.46,84.45,1.7
2,5.jpg,Sandeel,59,1.43,82.79,1.6
2,5.jpg,Sandeel,60,1.52,87.62,1.9
2,5.jpg,Sandeel,61,1.78,101.27,2.93
2,5.jpg,Sandeel,62,1.44,83.47,1.64
2,5.jpg,Sandeel,63,1.37,79.63,1.42
2,5.jpg,Sandeel,64,1.24,73.04,1.09
2,5.jpg,Sandeel,65,1.38,80.51,1.47
2,5.jpg,Sandeel,66,1.44,83.73,1.66
2,5.jpg,Sandeel,67,1.51,86.95,1.86
2,5.jpg,Sandeel,68,1.36,79.52,1.42
2,5.jpg,Sandeel,69,1.49,86.12,1.8
2,6.jpg,Sandeel,1,1.56,89.75,2.04
2,6.jpg,Sandeel,2,1.54,88.82,1.98
2,6.jpg,Sandeel,3,1.37,79.78,1.43
2,6.jpg,Sandeel,4,1.46,84.71,1.72
2,6.jpg,Sandeel,5,1.72,98.16,2.67
2,6.jpg,Sandeel,6,1.49,86.01,1.8
2,6.jpg,Sandeel,7,1.43,82.74,1.6
2,6.jpg,Sandeel,8,1.43,83.16,1.62
2,6.jpg,Sandeel,9,1.59,91.15,2.14
2,6.jpg,Sandeel,10,1.53,88.4,1.95
2,6.jpg,Sandeel,11,1.48,85.7,1.78
2,6.jpg,Sandeel,12,1.61,92.55,2.24
2,6.jpg,Sandeel,13,1.42,82.69,1.6
2,6.jpg,Sandeel,14,1.47,85.08,1.74
2,6.jpg,Sandeel,15,1.48,85.8,1.78
2,6.jpg,Sandeel,16,1.54,88.82,1.98
2,6.jpg,Sandeel,17,1.46,84.61,1.71
2,6.jpg,Sandeel,18,1.44,83.62,1.65
2,6.jpg,Sandeel,19,1.55,89.28,2.01
2,6.jpg,Sandeel,20,1.52,87.88,1.92
2,6.jpg,Sandeel,21,1.51,87.26,1.88
2,6.jpg,Sandeel,22,1.42,82.48,1.58
2,6.jpg,Sandeel,23,1.6,91.62,2.17
2,6.jpg,Sandeel,24,1.58,91,2.13
2,6.jpg,Sandeel,25,1.43,83.16,1.62
2,6.jpg,Sandeel,26,1.39,80.82,1.49
2,6.jpg,Sandeel,27,1.61,92.14,2.21
2,6.jpg,Sandeel,28,1.6,91.83,2.19
2,6.jpg,Sandeel,29,1.75,99.82,2.81
2,6.jpg,Sandeel,30,1.43,83,1.61
2,6.jpg,Sandeel,31,1.42,82.43,1.58
2,6.jpg,Sandeel,32,1.56,89.54,2.03
2,6.jpg,Sandeel,33,1.42,82.33,1.57
2,6.jpg,Sandeel,34,1.44,83.57,1.65
2,6.jpg,Sandeel,35,1.61,92.55,2.24
2,6.jpg,Sandeel,36,1.71,97.59,2.62
2,6.jpg,Sandeel,37,1.42,82.48,1.58
2,6.jpg,Sandeel,38,1.51,86.95,1.86
2,6.jpg,Sandeel,39,1.57,90.27,2.08
2,6.jpg,Sandeel,40,1.75,99.46,2.78
2,6.jpg,Sandeel,41,1.38,80.61,1.48
2,6.jpg,Sandeel,42,1.67,95.3,2.45
2,6.jpg,Sandeel,43,1.43,83,1.61
2,6.jpg,Sandeel,44,1.49,85.96,1.79
2,6.jpg,Sandeel,45,1.67,95.61,2.47
2,6.jpg,Sandeel,46,1.55,88.97,1.99
2,6.jpg,Sandeel,47,1.77,100.75,2.89
2,6.jpg,Sandeel,48,1.26,73.97,1.14
2,6.jpg,Sandeel,49,1.61,92.45,2.23
2,6.jpg,Sandeel,50,1.77,100.65,2.88
2,6.jpg,Sandeel,51,1.69,96.5,2.54
2,7.jpg,Sandeel,1,1.59,91.31,2.15
2,7.jpg,Sandeel,2,1.57,90.27,2.08
2,7.jpg,Sandeel,3,1.7,97.02,2.58
2,7.jpg,Sandeel,4,1.6,91.83,2.19
2,7.jpg,Sandeel,5,1.65,94.37,2.37
2,7.jpg,Sandeel,6,1.69,96.34,2.53
2,7.jpg,Sandeel,7,1.5,86.84,1.85
2,7.jpg,Sandeel,8,1.7,96.86,2.57
2,7.jpg,Sandeel,9,1.42,82.22,1.57
2,7.jpg,Sandeel,10,1.72,97.95,2.65
2,7.jpg,Sandeel,11,1.41,81.96,1.55
2,7.jpg,Sandeel,12,1.64,93.9,2.34
2,7.jpg,Sandeel,13,1.68,95.98,2.5
2,7.jpg,Sandeel,14,1.52,87.88,1.92
2,7.jpg,Sandeel,15,1.45,84.04,1.68
2,7.jpg,Sandeel,16,1.3,76.05,1.24
2,7.jpg,Sandeel,17,1.65,94.63,2.39
2,7.jpg,Sandeel,18,1.34,78.12,1.34
